config,cum_return,mean,sr,n_obs,skew,kurt,se,proxy_clv_tstat,proxy_clv_cov,true_clv_tstat,true_clv_cov
gu_koenker_npmle|none|policy_full_rerank|ttr72.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.0,131544.35384803556,5481.014743668148,0.9637496509795893,24,1.021735034197879,3.2186889230133278,1160.890121638622,9.065651173564465,0.9989700682727939,1.8687678579078673,0.03358426858920589
gu_koenker_npmle|none|policy_full_rerank|ttr72.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.75,131434.85384803556,5476.452243668148,0.9627757662406007,24,1.0211538788656747,3.2190262763990365,1161.0970823531234,9.065651173564465,0.9989700682727939,1.8687678579078673,0.03358426858920589
eb_shrinkage_skill|none|policy_full_rerank|ttr72.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.0,130640.32537342407,5443.346890559336,0.9861218083059278,24,1.4011240258502997,4.043299529830538,1126.755865124941,8.55197343637517,0.9992810281297744,0.20945025384385815,0.02593200813745435
eb_shrinkage_skill|none|policy_full_rerank|ttr72.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.75,130543.57537342407,5439.315640559336,0.9852696064738217,24,1.4007065538181773,4.042893133160593,1126.8952665143954,8.55197343637517,0.9992810281297744,0.20945025384385815,0.02593200813745435
eb_shrinkage_skill|none|policy_full_rerank|ttr24.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.0,128627.1243729092,5359.463515537883,0.9221515887381807,24,1.332821447886258,3.6938650721024033,1186.3514875117814,8.546517785413343,0.9992701637984657,0.02699268230892921,0.024573916649388346
eb_shrinkage_skill|none|policy_full_rerank|ttr24.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.75,128531.8743729092,5355.494765537883,0.921364667970075,24,1.3325880975242126,3.693907459143605,1186.485470207991,8.546517785413343,0.9992701637984657,0.02699268230892921,0.024573916649388346
eb_shrinkage_skill|none|policy_full_rerank|ttr48.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.0,126992.08946966422,5291.3370612360095,0.9137628647481149,24,1.345844122671722,3.8116466433490803,1182.0240200465744,8.548248461245054,0.9992808459866303,0.19134177697805854,0.025685239363875588
eb_shrinkage_skill|none|policy_full_rerank|ttr48.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.75,126898.33946966422,5287.4308112360095,0.9129743378185174,24,1.3455413600494042,3.811497458096251,1182.1715574124628,8.548248461245054,0.9992808459866303,0.19134177697805854,0.025685239363875588
t_stat_baseline|none|policy_full_rerank|ttr72.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.0,123115.50125462245,5129.812552275936,1.1089663506805187,24,0.9312721478290963,3.010358197708466,944.2293734077617,9.4885211724178,0.9987803826395476,2.6237242963108964,0.04028433099676001
t_stat_baseline|none|policy_full_rerank|ttr72.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.75,122998.50125462245,5124.937552275936,1.1077173651633228,24,0.9313441340713943,3.0099869229230203,944.3956826217232,9.4885211724178,0.9987803826395476,2.6237242963108964,0.04028433099676001
